Tarefa;p;Abordagem;Tempo;Minute;Hour;Acerto;Titulos;Tarefas;;T1.XC;T1.XD;T2.XC;T2.XD;T3.XC;T3.XD;T4.XC;T4.XC;T5.XC;T5.XD;T6.XC;T6.XD
Task 2;p<0.001;XChange;920;15,33333333;0,255555556;1;;;;;;;;;;;;;;;
Task 2;p<0.001;XChange;290;4,833333333;0,080555556;1;;;;;;;;;;;;;;;
Task 2;p<0.001;XChange;188;3,133333333;0,052222222;1;;;;;;;;;;;;;;;
Task 2;p<0.001;XChange;302;5,033333333;0,083888889;1;;;;;;;;;;;;;;;
Task 2;p<0.001;XChange;157;2,616666667;0,043611111;1;;;;;;;;;;;;;;;
Task 2;p<0.001;XChange;152;2,533333333;0,042222222;1;;;;;;;;;;;;;;;
Task 2;p<0.001;XChange;NA;NA;NA;NA;;;;;;;;;;;;;;;
Task 2;p<0.001;XChange;NA;NA;NA;NA;;;;;;;;;;;;;;;
Task 2;p<0.001;XDiff;418;6,966666667;0,116111111;1;;;;;;;;;;;;;;;
Task 2;p<0.001;XDiff;444;7,4;0,123333333;1;;;;;;;;;;;;;;;
Task 2;p<0.001;XDiff;427;7,116666667;0,118611111;0;;;;;;;;;;;;;;;
Task 2;p<0.001;XDiff;674;11,23333333;0,187222222;1;;;;;;;;;;;;;;;
Task 2;p<0.001;XDiff;240;4;0,066666667;1;;;;;;;;;;;;;;;
Task 2;p<0.001;XDiff;900;15;0,25;1;;;;;;;;;;;;;;;
Task 2;p<0.001;XDiff;355;5,916666667;0,098611111;1;;;;;;;;;;;;;;;
Task 2;p<0.001;XDiff;1156;19,26666667;0,321111111;0;;;;;;;;;;;;;;;
Task 2;p<0.001;XDiff;720;12;0,2;0;;;;;;;;;;;;;;;
Task 2;p<0.001;XDiff;557;9,283333333;0,154722222;1;;;;;;;;;;;;;;;
Task 2;p<0.001;XDiff;1260;21;0,35;0;;;;;;;;;;;;;;;
Task 2;p<0.001;XDiff;900;15;0,25;0;;;;;;;;;;;;;;;
Task 2;p<0.001;XDiff;660;11;0,183333333;0;;;;;;;;;;;;;;;
Task 2;p<0.001;XDiff;600;10;0,166666667;1;;;;;;;;;;;;;;;
Task 2;p<0.001;XDiff;480;8;0,133333333;0;;;;;;;;;;;;;;;
Task 2;p<0.001;XDiff;509;8,483333333;0,141388889;1;;;;;;;;;;;;;;;
Task 2;p<0.001;XDiff;480;8;0,133333333;0;;;;;;;;;;;;;;;
Task 2;p<0.001;XDiff;232;3,866666667;0,064444444;0;;;;;;;;;;;;;;;
Task 2;p<0.001;XDiff;869;14,48333333;0,241388889;0;;;;;;;;;;;;;;;
Task 2;p<0.001;XDiff;320;5,333333333;0,088888889;1;;;;;;;;;;;;;;;
Task 2;p<0.001;XDiff;692;11,53333333;0,192222222;0;;;;;;;;;;;;;;;
Task 2;p<0.001;XDiff;240;4;0,066666667;0;;;;;;;;;;;;;;;
Task 2;p<0.001;XDiff;729;12,15;0,2025;0;;;;;;;;;;;;;;;
Task 2;p<0.001;XDiff;260;4,333333333;0,072222222;0;;;;;;;;;;;;;;;
Task 2;p<0.001;XDiff;1370;22,83333333;0,380555556;0;;;;;;;;;;;;;;;
Task 2;p<0.001;XDiff;770;12,83333333;0,213888889;0;;;;;;;;;;;;;;;
Task 2;p<0.001;XDiff;919;15,31666667;0,255277778;1;;;;;;;;;;;;;;;
Task 2;p<0.001;XDiff;525;8,75;0,145833333;1;;;;;;;;;;;;;;;
Task 2;p<0.001;XDiff;585;9,75;0,1625;1;;;;;;;;;;;;;;;
Task 2;p<0.001;XDiff;796;13,26666667;0,221111111;0;;;;;;;;;;;;;;;
Task 2;p<0.001;XDiff;359;5,983333333;0,099722222;1;;;;;;;;;;;;;;;
Task 3;p=0.145;XChange;467;7,783333333;0,129722222;1;;;;;;;;;;;;;;;
Task 3;p=0.145;XChange;466;7,766666667;0,129444444;1;;;;;;;;;;;;;;;
Task 3;p=0.145;XChange;665;11,08333333;0,184722222;0;;;;;;;;;;;;;;;
Task 3;p=0.145;XChange;1187;19,78333333;0,329722222;0;;;;;;;;;;;;;;;
Task 3;p=0.145;XChange;341;5,683333333;0,094722222;1;;;;;;;;;;;;;;;
Task 3;p=0.145;XChange;40;0,666666667;0,011111111;0,5;;;;;;;;;;;;;;;
Task 3;p=0.145;XChange;231;3,85;0,064166667;1;;;;;;;;;;;;;;;
Task 3;p=0.145;XChange;396;6,6;0,11;1;;;;;;;;;;;;;;;
Task 3;p=0.145;XChange;244;4,066666667;0,067777778;1;;;;;;;;;;;;;;;
Task 3;p=0.145;XChange;240;4;0,066666667;1;;;;;;;;;;;;;;;
Task 3;p=0.145;XChange;300;5;0,083333333;0,5;;;;;;;;;;;;;;;
Task 3;p=0.145;XChange;300;5;0,083333333;1;;;;;;;;;;;;;;;
Task 3;p=0.145;XChange;300;5;0,083333333;1;;;;;;;;;;;;;;;
Task 3;p=0.145;XChange;353;5,883333333;0,098055556;1;;;;;;;;;;;;;;;
Task 3;p=0.145;XChange;300;5;0,083333333;1;;;;;;;;;;;;;;;
Task 3;p=0.145;XChange;177;2,95;0,049166667;1;;;;;;;;;;;;;;;
Task 3;p=0.145;XChange;120;2;0,033333333;1;;;;;;;;;;;;;;;
Task 3;p=0.145;XChange;180;3;0,05;0,5;;;;;;;;;;;;;;;
Task 3;p=0.145;XChange;121;2,016666667;0,033611111;1;;;;;;;;;;;;;;;
Task 3;p=0.145;XChange;224;3,733333333;0,062222222;1;;;;;;;;;;;;;;;
Task 3;p=0.145;XChange;215;3,583333333;0,059722222;1;;;;;;;;;;;;;;;
Task 3;p=0.145;XChange;107;1,783333333;0,029722222;1;;;;;;;;;;;;;;;
Task 3;p=0.145;XChange;207;3,45;0,0575;1;;;;;;;;;;;;;;;
Task 3;p=0.145;XChange;257;4,283333333;0,071388889;1;;;;;;;;;;;;;;;
Task 3;p=0.145;XChange;335;5,583333333;0,093055556;1;;;;;;;;;;;;;;;
Task 3;p=0.145;XChange;508;8,466666667;0,141111111;1;;;;;;;;;;;;;;;
Task 3;p=0.145;XChange;182;3,033333333;0,050555556;0,5;;;;;;;;;;;;;;;
Task 3;p=0.145;XChange;157;2,616666667;0,043611111;1;;;;;;;;;;;;;;;
Task 3;p=0.145;XChange;247;4,116666667;0,068611111;1;;;;;;;;;;;;;;;
Task 3;p=0.145;XChange;NA;NA;NA;NA;;;;;;;;;;;;;;;
Task 3;p=0.145;XChange;NA;NA;NA;NA;;;;;;;;;;;;;;;
Task 3;p=0.145;XDiff;203;3,383333333;0,056388889;1;;;;;;;;;;;;;;;
Task 3;p=0.145;XDiff;115;1,916666667;0,031944444;0,5;;;;;;;;;;;;;;;
Task 3;p=0.145;XDiff;305;5,083333333;0,084722222;1;;;;;;;;;;;;;;;
Task 3;p=0.145;XDiff;143;2,383333333;0,039722222;1;;;;;;;;;;;;;;;
Task 3;p=0.145;XDiff;135;2,25;0,0375;1;;;;;;;;;;;;;;;
Task 3;p=0.145;XDiff;240;4;0,066666667;1;;;;;;;;;;;;;;;
Task 3;p=0.145;XDiff;345;5,75;0,095833333;1;;;;;;;;;;;;;;;
Task 3;p=0.145;XDiff;177;2,95;0,049166667;0;;;;;;;;;;;;;;;
Task 3;p=0.145;XDiff;120;2;0,033333333;1;;;;;;;;;;;;;;;
Task 3;p=0.145;XDiff;152;2,533333333;0,042222222;1;;;;;;;;;;;;;;;
Task 3;p=0.145;XDiff;300;5;0,083333333;0;;;;;;;;;;;;;;;
Task 3;p=0.145;XDiff;300;5;0,083333333;0;;;;;;;;;;;;;;;
Task 3;p=0.145;XDiff;420;7;0,116666667;1;;;;;;;;;;;;;;;
Task 3;p=0.145;XDiff;180;3;0,05;1;;;;;;;;;;;;;;;
Task 3;p=0.145;XDiff;60;1;0,016666667;0,5;;;;;;;;;;;;;;;
Task 3;p=0.145;XDiff;333;5,55;0,0925;1;;;;;;;;;;;;;;;
Task 3;p=0.145;XDiff;360;6;0,1;0;;;;;;;;;;;;;;;
Task 3;p=0.145;XDiff;204;3,4;0,056666667;1;;;;;;;;;;;;;;;
Task 3;p=0.145;XDiff;102;1,7;0,028333333;1;;;;;;;;;;;;;;;
Task 3;p=0.145;XDiff;155;2,583333333;0,043055556;1;;;;;;;;;;;;;;;
Task 3;p=0.145;XDiff;271;4,516666667;0,075277778;1;;;;;;;;;;;;;;;
Task 3;p=0.145;XDiff;251;4,183333333;0,069722222;1;;;;;;;;;;;;;;;
Task 3;p=0.145;XDiff;491;8,183333333;0,136388889;0;;;;;;;;;;;;;;;
Task 3;p=0.145;XDiff;135;2,25;0,0375;1;;;;;;;;;;;;;;;
Task 3;p=0.145;XDiff;539;8,983333333;0,149722222;1;;;;;;;;;;;;;;;
Task 3;p=0.145;XDiff;112;1,866666667;0,031111111;1;;;;;;;;;;;;;;;
Task 3;p=0.145;XDiff;576;9,6;0,16;1;;;;;;;;;;;;;;;
Task 3;p=0.145;XDiff;101;1,683333333;0,028055556;1;;;;;;;;;;;;;;;
Task 3;p=0.145;XDiff;296;4,933333333;0,082222222;1;;;;;;;;;;;;;;;
Task 3;p=0.145;XDiff;155;2,583333333;0,043055556;1;;;;;;;;;;;;;;;
Task 3;p=0.145;XDiff;165;2,75;0,045833333;1;;;;;;;;;;;;;;;
Task 4;p=0.277;XChange;396;6,6;0,11;1;;;;;;;;;;;;;;;
Task 4;p=0.277;XChange;327;5,45;0,090833333;1;;;;;;;;;;;;;;;
Task 4;p=0.277;XChange;220;3,666666667;0,061111111;1;;;;;;;;;;;;;;;
Task 4;p=0.277;XChange;116;1,933333333;0,032222222;1;;;;;;;;;;;;;;;
Task 4;p=0.277;XChange;285;4,75;0,079166667;1;;;;;;;;;;;;;;;
Task 4;p=0.277;XChange;240;4;0,066666667;1;;;;;;;;;;;;;;;
Task 4;p=0.277;XChange;625;10,41666667;0,173611111;1;;;;;;;;;;;;;;;
Task 4;p=0.277;XChange;97;1,616666667;0,026944444;1;;;;;;;;;;;;;;;
Task 4;p=0.277;XChange;180;3;0,05;1;;;;;;;;;;;;;;;
Task 4;p=0.277;XChange;143;2,383333333;0,039722222;1;;;;;;;;;;;;;;;
Task 4;p=0.277;XChange;480;8;0,133333333;1;;;;;;;;;;;;;;;
Task 4;p=0.277;XChange;600;10;0,166666667;1;;;;;;;;;;;;;;;
Task 4;p=0.277;XChange;1080;18;0,3;1;;;;;;;;;;;;;;;
Task 4;p=0.277;XChange;540;9;0,15;1;;;;;;;;;;;;;;;
Task 4;p=0.277;XChange;300;5;0,083333333;1;;;;;;;;;;;;;;;
Task 4;p=0.277;XChange;326;5,433333333;0,090555556;1;;;;;;;;;;;;;;;
Task 4;p=0.277;XChange;420;7;0,116666667;1;;;;;;;;;;;;;;;
Task 4;p=0.277;XChange;451;7,516666667;0,125277778;1;;;;;;;;;;;;;;;
Task 4;p=0.277;XChange;250;4,166666667;0,069444444;1;;;;;;;;;;;;;;;
Task 4;p=0.277;XChange;33;0,55;0,009166667;1;;;;;;;;;;;;;;;
Task 4;p=0.277;XChange;173;2,883333333;0,048055556;1;;;;;;;;;;;;;;;
Task 4;p=0.277;XChange;319;5,316666667;0,088611111;1;;;;;;;;;;;;;;;
Task 4;p=0.277;XChange;64;1,066666667;0,017777778;1;;;;;;;;;;;;;;;
Task 4;p=0.277;XChange;250;4,166666667;0,069444444;1;;;;;;;;;;;;;;;
Task 4;p=0.277;XChange;435;7,25;0,120833333;1;;;;;;;;;;;;;;;
Task 4;p=0.277;XChange;52;0,866666667;0,014444444;1;;;;;;;;;;;;;;;
Task 4;p=0.277;XChange;185;3,083333333;0,051388889;0;;;;;;;;;;;;;;;
Task 4;p=0.277;XChange;107;1,783333333;0,029722222;1;;;;;;;;;;;;;;;
Task 4;p=0.277;XChange;365;6,083333333;0,101388889;1;;;;;;;;;;;;;;;
Task 4;p=0.277;XChange;221;3,683333333;0,061388889;1;;;;;;;;;;;;;;;
Task 4;p=0.277;XChange;165;2,75;0,045833333;1;;;;;;;;;;;;;;;
Task 4;p=0.277;XDiff;285;4,75;0,079166667;1;;;;;;;;;;;;;;;
Task 4;p=0.277;XDiff;453;7,55;0,125833333;1;;;;;;;;;;;;;;;
Task 4;p=0.277;XDiff;82;1,366666667;0,022777778;1;;;;;;;;;;;;;;;
Task 4;p=0.277;XDiff;306;5,1;0,085;1;;;;;;;;;;;;;;;
Task 4;p=0.277;XDiff;145;2,416666667;0,040277778;1;;;;;;;;;;;;;;;
Task 4;p=0.277;XDiff;205;3,416666667;0,056944444;0;;;;;;;;;;;;;;;
Task 4;p=0.277;XDiff;121;2,016666667;0,033611111;1;;;;;;;;;;;;;;;
Task 4;p=0.277;XDiff;297;4,95;0,0825;1;;;;;;;;;;;;;;;
Task 4;p=0.277;XDiff;165;2,75;0,045833333;0;;;;;;;;;;;;;;;
Task 4;p=0.277;XDiff;180;3;0,05;1;;;;;;;;;;;;;;;
Task 4;p=0.277;XDiff;720;12;0,2;0;;;;;;;;;;;;;;;
Task 4;p=0.277;XDiff;600;10;0,166666667;1;;;;;;;;;;;;;;;
Task 4;p=0.277;XDiff;300;5;0,083333333;1;;;;;;;;;;;;;;;
Task 4;p=0.277;XDiff;107;1,783333333;0,029722222;1;;;;;;;;;;;;;;;
Task 4;p=0.277;XDiff;180;3;0,05;1;;;;;;;;;;;;;;;
Task 4;p=0.277;XDiff;290;4,833333333;0,080555556;1;;;;;;;;;;;;;;;
Task 4;p=0.277;XDiff;180;3;0,05;0;;;;;;;;;;;;;;;
Task 4;p=0.277;XDiff;120;2;0,033333333;0;;;;;;;;;;;;;;;
Task 4;p=0.277;XDiff;364;6,066666667;0,101111111;1;;;;;;;;;;;;;;;
Task 4;p=0.277;XDiff;233;3,883333333;0,064722222;1;;;;;;;;;;;;;;;
Task 4;p=0.277;XDiff;259;4,316666667;0,071944444;1;;;;;;;;;;;;;;;
Task 4;p=0.277;XDiff;242;4,033333333;0,067222222;0;;;;;;;;;;;;;;;
Task 4;p=0.277;XDiff;86;1,433333333;0,023888889;1;;;;;;;;;;;;;;;
Task 4;p=0.277;XDiff;72;1,2;0,02;1;;;;;;;;;;;;;;;
Task 4;p=0.277;XDiff;230;3,833333333;0,063888889;1;;;;;;;;;;;;;;;
Task 4;p=0.277;XDiff;114;1,9;0,031666667;1;;;;;;;;;;;;;;;
Task 4;p=0.277;XDiff;404;6,733333333;0,112222222;0;;;;;;;;;;;;;;;
Task 4;p=0.277;XDiff;89;1,483333333;0,024722222;1;;;;;;;;;;;;;;;
Task 4;p=0.277;XDiff;312;5,2;0,086666667;1;;;;;;;;;;;;;;;
Task 4;p=0.277;XDiff;NA;NA;NA;NA;;;;;;;;;;;;;;;
Task 4;p=0.277;XDiff;NA;NA;NA;NA;;;;;;;;;;;;;;;
Task 5;p<0.001;XChange;91;1,516666667;0,025277778;1;;;;;;;;;;;;;;;
Task 5;p<0.001;XChange;274;4,566666667;0,076111111;1;;;;;;;;;;;;;;;
Task 5;p<0.001;XChange;171;2,85;0,0475;1;;;;;;;;;;;;;;;
Task 5;p<0.001;XChange;81;1,35;0,0225;1;;;;;;;;;;;;;;;
Task 5;p<0.001;XChange;160;2,666666667;0,044444444;1;;;;;;;;;;;;;;;
Task 5;p<0.001;XChange;180;3;0,05;1;;;;;;;;;;;;;;;
Task 5;p<0.001;XChange;180;3;0,05;1;;;;;;;;;;;;;;;
Task 5;p<0.001;XChange;126;2,1;0,035;1;;;;;;;;;;;;;;;
Task 5;p<0.001;XChange;60;1;0,016666667;1;;;;;;;;;;;;;;;
Task 5;p<0.001;XChange;116;1,933333333;0,032222222;1;;;;;;;;;;;;;;;
Task 5;p<0.001;XChange;120;2;0,033333333;1;;;;;;;;;;;;;;;
Task 5;p<0.001;XChange;120;2;0,033333333;1;;;;;;;;;;;;;;;
Task 5;p<0.001;XChange;120;2;0,033333333;1;;;;;;;;;;;;;;;
Task 5;p<0.001;XChange;240;4;0,066666667;1;;;;;;;;;;;;;;;
Task 5;p<0.001;XChange;120;2;0,033333333;1;;;;;;;;;;;;;;;
Task 5;p<0.001;XChange;189;3,15;0,0525;1;;;;;;;;;;;;;;;
Task 5;p<0.001;XChange;180;3;0,05;1;;;;;;;;;;;;;;;
Task 5;p<0.001;XChange;98;1,633333333;0,027222222;1;;;;;;;;;;;;;;;
Task 5;p<0.001;XChange;68;1,133333333;0,018888889;1;;;;;;;;;;;;;;;
Task 5;p<0.001;XChange;28;0,466666667;0,007777778;1;;;;;;;;;;;;;;;
Task 5;p<0.001;XChange;138;2,3;0,038333333;1;;;;;;;;;;;;;;;
Task 5;p<0.001;XChange;72;1,2;0,02;1;;;;;;;;;;;;;;;
Task 5;p<0.001;XChange;173;2,883333333;0,048055556;1;;;;;;;;;;;;;;;
Task 5;p<0.001;XChange;340;5,666666667;0,094444444;1;;;;;;;;;;;;;;;
Task 5;p<0.001;XChange;108;1,8;0,03;1;;;;;;;;;;;;;;;
Task 5;p<0.001;XChange;18;0,3;0,005;1;;;;;;;;;;;;;;;
Task 5;p<0.001;XChange;656;10,93333333;0,182222222;0;;;;;;;;;;;;;;;
Task 5;p<0.001;XChange;46;0,766666667;0,012777778;1;;;;;;;;;;;;;;;
Task 5;p<0.001;XChange;133;2,216666667;0,036944444;1;;;;;;;;;;;;;;;
Task 5;p<0.001;XChange;50;0,833333333;0,013888889;1;;;;;;;;;;;;;;;
Task 5;p<0.001;XChange;100;1,666666667;0,027777778;1;;;;;;;;;;;;;;;
Task 5;p<0.001;XDiff;725;12,08333333;0,201388889;1;;;;;;;;;;;;;;;
Task 5;p<0.001;XDiff;453;7,55;0,125833333;1;;;;;;;;;;;;;;;
Task 5;p<0.001;XDiff;320;5,333333333;0,088888889;1;;;;;;;;;;;;;;;
Task 5;p<0.001;XDiff;490;8,166666667;0,136111111;1;;;;;;;;;;;;;;;
Task 5;p<0.001;XDiff;213;3,55;0,059166667;1;;;;;;;;;;;;;;;
Task 5;p<0.001;XDiff;352;5,866666667;0,097777778;1;;;;;;;;;;;;;;;
Task 5;p<0.001;XDiff;64;1,066666667;0,017777778;1;;;;;;;;;;;;;;;
Task 5;p<0.001;XDiff;690;11,5;0,191666667;1;;;;;;;;;;;;;;;
Task 5;p<0.001;XDiff;635;10,58333333;0,176388889;1;;;;;;;;;;;;;;;
Task 5;p<0.001;XDiff;240;4;0,066666667;1;;;;;;;;;;;;;;;
Task 5;p<0.001;XDiff;840;14;0,233333333;1;;;;;;;;;;;;;;;
Task 5;p<0.001;XDiff;360;6;0,1;1;;;;;;;;;;;;;;;
Task 5;p<0.001;XDiff;240;4;0,066666667;1;;;;;;;;;;;;;;;
Task 5;p<0.001;XDiff;315;5,25;0,0875;1;;;;;;;;;;;;;;;
Task 5;p<0.001;XDiff;480;8;0,133333333;1;;;;;;;;;;;;;;;
Task 5;p<0.001;XDiff;383;6,383333333;0,106388889;1;;;;;;;;;;;;;;;
Task 5;p<0.001;XDiff;120;2;0,033333333;1;;;;;;;;;;;;;;;
Task 5;p<0.001;XDiff;480;8;0,133333333;1;;;;;;;;;;;;;;;
Task 5;p<0.001;XDiff;534;8,9;0,148333333;1;;;;;;;;;;;;;;;
Task 5;p<0.001;XDiff;521;8,683333333;0,144722222;1;;;;;;;;;;;;;;;
Task 5;p<0.001;XDiff;85;1,416666667;0,023611111;0;;;;;;;;;;;;;;;
Task 5;p<0.001;XDiff;528;8,8;0,146666667;1;;;;;;;;;;;;;;;
Task 5;p<0.001;XDiff;235;3,916666667;0,065277778;1;;;;;;;;;;;;;;;
Task 5;p<0.001;XDiff;248;4,133333333;0,068888889;1;;;;;;;;;;;;;;;
Task 5;p<0.001;XDiff;278;4,633333333;0,077222222;1;;;;;;;;;;;;;;;
Task 5;p<0.001;XDiff;443;7,383333333;0,123055556;1;;;;;;;;;;;;;;;
Task 5;p<0.001;XDiff;547;9,116666667;0,151944444;0;;;;;;;;;;;;;;;
Task 5;p<0.001;XDiff;167;2,783333333;0,046388889;0;;;;;;;;;;;;;;;
